flight_id,flight_date,airline,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,flight_status,delay_minutes,disruption_type,disruption_severity,available_captains,available_first_officers,standby_crew,max_duty_hours,rest_required_hours,airport_congestion_level,slots_available,recovery_action
FL1000,2025-02-14,IndiGo,BOM,DEL,8:30,10:25,CANCELLED,15,TECHNICAL,HIGH,1,5,3,8,12,HIGH,4,SWAP_AIRCRAFT
FL1001,2025-02-14,IndiGo,BOM,DEL,7:45,9:50,DELAYED,60,TECHNICAL,LOW,2,2,1,8,12,LOW,7,CANCEL_FLIGHT
FL1002,2025-02-14,Vistara,BOM,DEL,12:25,14:30,DELAYED,0,WEATHER,LOW,1,1,0,8,12,MEDIUM,8,CANCEL_FLIGHT
FL1003,2025-02-14,IndiGo,BOM,DEL,10:05,12:15,DELAYED,0,ATC,HIGH,4,1,3,8,12,MEDIUM,4,REASSIGN_CREW
FL1004,2025-02-14,IndiGo,BOM,DEL,13:40,15:50,DELAYED,60,CREW,LOW,2,3,2,8,12,HIGH,9,CANCEL_FLIGHT
FL1005,2025-02-14,IndiGo,BOM,DEL,9:20,11:30,ON_TIME,0,NONE,LOW,3,5,2,8,12,LOW,6,CANCEL_FLIGHT
FL1006,2025-02-14,Air India,BOM,DEL,8:00,10:15,ON_TIME,60,NONE,MEDIUM,3,1,2,8,12,MEDIUM,2,CANCEL_FLIGHT
FL1007,2025-02-14,Air India,BOM,DEL,10:00,12:15,ON_TIME,0,NONE,LOW,5,1,2,8,12,HIGH,3,CANCEL_FLIGHT
FL1008,2025-02-14,Vistara,BOM,DEL,11:55,14:05,DELAYED,60,ATC,LOW,5,2,2,8,12,HIGH,2,CANCEL_FLIGHT
FL1009,2025-02-14,IndiGo,BOM,DEL,11:45,14:00,DELAYED,0,NONE,MEDIUM,4,3,3,8,12,LOW,4,REASSIGN_CREW
FL1010,2025-02-14,SpiceJet,BOM,DEL,7:20,9:35,CANCELLED,15,CREW,LOW,2,5,0,8,12,LOW,9,DELAY_30
FL1011,2025-02-14,SpiceJet,BOM,DEL,10:15,12:30,ON_TIME,15,NONE,LOW,5,3,0,8,12,MEDIUM,3,SWAP_AIRCRAFT
FL1012,2025-02-14,Vistara,BOM,DEL,10:25,12:40,CANCELLED,0,NONE,LOW,2,4,1,8,12,LOW,0,DELAY_30
FL1013,2025-02-14,Vistara,BOM,DEL,14:40,16:55,CANCELLED,30,WEATHER,HIGH,3,4,3,8,12,HIGH,10,NO_ACTION
FL1014,2025-02-14,Vistara,BOM,DEL,8:45,11:00,ON_TIME,30,CREW,MEDIUM,3,4,2,8,12,LOW,5,NO_ACTION
FL1015,2025-02-14,IndiGo,BOM,DEL,7:05,9:20,CANCELLED,0,ATC,MEDIUM,3,3,1,8,12,MEDIUM,5,NO_ACTION
FL1016,2025-02-14,AirAsia India,BOM,DEL,7:20,9:30,ON_TIME,0,CREW,MEDIUM,4,2,2,8,12,MEDIUM,5,NO_ACTION
FL1017,2025-02-14,Vistara,BOM,DEL,7:00,9:05,DELAYED,0,CREW,MEDIUM,5,5,2,8,12,MEDIUM,5,REASSIGN_CREW
FL1018,2025-02-14,Air India,DEL,BOM,18:00,20:00,ON_TIME,30,NONE,MEDIUM,3,5,2,8,12,HIGH,2,CANCEL_FLIGHT
FL1019,2025-02-14,Go First,DEL,BOM,15:30,17:35,ON_TIME,30,WEATHER,HIGH,1,3,2,8,12,MEDIUM,8,DELAY_30
FL1020,2025-02-14,Go First,DEL,BOM,17:00,19:05,CANCELLED,15,NONE,LOW,3,4,2,8,12,HIGH,9,REASSIGN_CREW
FL1021,2025-02-14,Air India,DEL,BOM,20:00,22:10,CANCELLED,60,TECHNICAL,MEDIUM,4,5,3,8,12,MEDIUM,0,CANCEL_FLIGHT
FL1022,2025-02-14,Go First,DEL,BOM,22:30,0:40,ON_TIME,30,CREW,HIGH,5,5,0,8,12,HIGH,8,DELAY_30
FL1023,2025-02-14,IndiGo,DEL,BOM,17:15,19:25,CANCELLED,0,WEATHER,HIGH,3,1,2,8,12,MEDIUM,1,DELAY_30
FL1024,2025-02-14,IndiGo,DEL,BOM,18:40,20:50,ON_TIME,30,WEATHER,LOW,2,4,0,8,12,MEDIUM,5,NO_ACTION
FL1025,2025-02-14,Air India,DEL,BOM,19:00,21:15,CANCELLED,120,WEATHER,LOW,2,5,2,8,12,MEDIUM,4,NO_ACTION
FL1026,2025-02-14,SpiceJet,DEL,BOM,18:55,21:05,ON_TIME,15,CREW,MEDIUM,3,1,1,8,12,MEDIUM,2,DELAY_30
FL1027,2025-02-14,Vistara,DEL,BOM,15:30,17:40,DELAYED,30,NONE,HIGH,5,4,1,8,12,HIGH,2,REASSIGN_CREW
FL1028,2025-02-14,Vistara,DEL,BOM,19:50,22:00,ON_TIME,30,WEATHER,LOW,2,4,0,8,12,HIGH,6,REASSIGN_CREW
FL1029,2025-02-14,Vistara,DEL,BOM,20:40,22:50,CANCELLED,15,ATC,MEDIUM,3,4,0,8,12,MEDIUM,4,NO_ACTION
FL1030,2025-02-14,Go First,DEL,BOM,15:00,17:15,CANCELLED,120,CREW,HIGH,3,5,0,8,12,HIGH,7,NO_ACTION
FL1031,2025-02-14,Go First,DEL,BOM,19:40,21:55,CANCELLED,0,CREW,HIGH,2,4,0,8,12,LOW,9,NO_ACTION
FL1032,2025-02-14,Go First,DEL,BOM,21:00,23:15,DELAYED,0,ATC,MEDIUM,3,5,2,8,12,LOW,2,SWAP_AIRCRAFT
FL1033,2025-02-14,IndiGo,DEL,BOM,21:15,23:30,CANCELLED,30,NONE,MEDIUM,2,5,3,8,12,HIGH,10,CANCEL_FLIGHT
FL1034,2025-02-14,Vistara,DEL,BOM,19:00,21:15,CANCELLED,60,CREW,HIGH,5,5,0,8,12,HIGH,6,SWAP_AIRCRAFT
FL1035,2025-02-14,Go First,DEL,BOM,18:05,20:25,DELAYED,30,WEATHER,LOW,2,1,2,8,12,HIGH,6,DELAY_30
FL1036,2025-02-14,SpiceJet,DEL,BOM,19:45,22:05,ON_TIME,120,TECHNICAL,LOW,5,4,2,8,12,LOW,3,NO_ACTION
FL1037,2025-02-14,Vistara,DEL,BOM,17:45,20:05,DELAYED,15,ATC,MEDIUM,4,1,3,8,12,LOW,8,CANCEL_FLIGHT
FL1038,2025-02-14,Go First,DEL,BOM,13:30,15:35,CANCELLED,120,ATC,HIGH,1,3,1,8,12,LOW,0,DELAY_30
FL1039,2025-02-14,Go First,DEL,BOM,7:00,9:10,ON_TIME,15,NONE,HIGH,3,1,1,8,12,LOW,3,NO_ACTION
FL1040,2025-02-14,Go First,DEL,BOM,8:00,10:10,DELAYED,0,WEATHER,MEDIUM,2,5,3,8,12,MEDIUM,3,REASSIGN_CREW
FL1041,2025-02-14,IndiGo,DEL,BOM,12:00,14:10,ON_TIME,0,ATC,LOW,1,2,3,8,12,HIGH,7,NO_ACTION
FL1042,2025-02-14,IndiGo,DEL,BOM,6:30,8:40,DELAYED,0,TECHNICAL,HIGH,4,4,1,8,12,MEDIUM,8,DELAY_30
FL1043,2025-02-14,IndiGo,DEL,BOM,7:15,9:25,DELAYED,30,ATC,MEDIUM,5,2,1,8,12,MEDIUM,5,NO_ACTION
FL1044,2025-02-14,Go First,DEL,BOM,14:20,16:35,ON_TIME,120,WEATHER,MEDIUM,5,3,3,8,12,HIGH,5,NO_ACTION
FL1045,2025-02-14,Go First,DEL,BOM,15:00,17:15,CANCELLED,60,TECHNICAL,HIGH,4,2,3,8,12,LOW,6,NO_ACTION
FL1046,2025-02-14,IndiGo,DEL,BOM,14:20,16:35,DELAYED,60,NONE,LOW,3,4,1,8,12,LOW,10,REASSIGN_CREW
FL1047,2025-02-14,SpiceJet,DEL,BOM,7:20,9:35,ON_TIME,0,NONE,MEDIUM,1,1,0,8,12,LOW,6,CANCEL_FLIGHT
FL1048,2025-02-14,Go First,DEL,BOM,10:30,12:50,DELAYED,60,CREW,LOW,3,3,3,8,12,MEDIUM,8,SWAP_AIRCRAFT
FL1049,2025-02-14,IndiGo,DEL,BOM,8:45,11:05,ON_TIME,30,CREW,MEDIUM,2,2,3,8,12,HIGH,1,SWAP_AIRCRAFT
FL1050,2025-02-14,IndiGo,DEL,BOM,10:45,13:05,ON_TIME,60,ATC,HIGH,5,1,2,8,12,HIGH,8,DELAY_30
FL1051,2025-02-14,Go First,DEL,BOM,2:00,4:15,ON_TIME,15,WEATHER,LOW,5,3,2,8,12,HIGH,7,DELAY_30
FL1052,2025-02-14,SpiceJet,DEL,BOM,6:20,8:40,DELAYED,15,TECHNICAL,HIGH,5,5,3,8,12,HIGH,2,NO_ACTION
FL1053,2025-02-14,AirAsia India,DEL,BOM,4:25,6:35,DELAYED,0,WEATHER,HIGH,3,4,2,8,12,LOW,5,NO_ACTION
FL1054,2025-02-14,IndiGo,DEL,BOM,9:30,12:00,CANCELLED,30,NONE,LOW,1,4,3,8,12,MEDIUM,10,CANCEL_FLIGHT
FL1055,2025-02-14,AirAsia India,BOM,DEL,22:00,0:10,CANCELLED,120,TECHNICAL,MEDIUM,5,3,0,8,12,HIGH,7,SWAP_AIRCRAFT
FL1056,2025-02-14,IndiGo,BOM,DEL,19:35,21:25,ON_TIME,60,CREW,HIGH,1,2,3,8,12,LOW,6,NO_ACTION
FL1057,2025-02-14,Go First,BOM,DEL,16:30,18:35,DELAYED,15,ATC,HIGH,3,1,1,8,12,MEDIUM,10,NO_ACTION
FL1058,2025-02-14,IndiGo,BOM,DEL,17:15,19:20,DELAYED,0,WEATHER,LOW,5,5,3,8,12,MEDIUM,6,DELAY_30
FL1059,2025-02-14,IndiGo,BOM,DEL,18:30,20:35,CANCELLED,120,ATC,MEDIUM,4,1,3,8,12,MEDIUM,5,NO_ACTION
FL1060,2025-02-14,Go First,BOM,DEL,18:00,20:10,ON_TIME,30,NONE,LOW,4,5,3,8,12,HIGH,5,SWAP_AIRCRAFT
FL1061,2025-02-14,Go First,BOM,DEL,20:15,22:25,ON_TIME,30,NONE,LOW,2,4,1,8,12,LOW,6,NO_ACTION
