Flight_ID,Route,Departure_Time,Arrival_Time,Aircraft_Type,Flight_Duration,Pilot_ID,Name,Rank,Certification,Age,Experience_Years,Rest_Hours,Fatigue_Score,Last_Flight_Time
FLY1001,Guwahati to Pune,2025-12-31 03:00,2025-12-31 04:56,A320,1h 56m,PLT6563,FO_49,First Officer,A320,28,7,15,3,2025-12-30 12:00
FLY1002,Bangalore to Ahmedabad,2025-12-31 13:00,2025-12-31 13:46,A320,0h 46m,PLT6481,FO_39,First Officer,A320,30,9,12,8,2025-12-31 01:00
FLY1003,Hyderabad to Ahmedabad,2025-12-31 11:15,2025-12-31 12:33,A320,1h 18m,PLT8757,Captain_25,Captain,A320,44,22,18,2,2025-12-30 17:15
FLY1004,Ahmedabad to Hyderabad,2025-12-31 09:30,2025-12-31 11:31,B737,2h 1m,PLT7528,Captain_15,Captain,B737,53,31,19,1,2025-12-30 14:30
FLY1005,Delhi to Goa,2025-12-31 08:45,2025-12-31 10:16,A320,1h 31m,PLT6112,Captain_17,Captain,A320,51,29,12,9,2025-12-30 20:45
FLY1006,Mumbai to Goa,2025-12-31 16:00,2025-12-31 17:22,A320,1h 22m,PLT5878,FO_15,First Officer,A320,25,4,23,4,2025-12-30 17:00
FLY1007,Kolkata to Pune,2025-12-31 04:30,2025-12-31 06:29,A320,1h 59m,PLT6892,FO_25,First Officer,A320,27,6,21,3,2025-12-30 07:30
FLY1008,Hyderabad to Kolkata,2025-12-31 15:15,2025-12-31 17:02,B737,1h 47m,PLT7237,FO_21,First Officer,B737,36,15,15,2,2025-12-31 00:15
FLY1009,Pune to Delhi,2025-12-31 19:45,2025-12-31 22:18,B737,2h 33m,PLT6744,FO_21,First Officer,B737,34,13,17,4,2025-12-31 02:45
FLY1010,Goa to Chennai,2025-12-31 08:45,2025-12-31 10:47,B737,2h 2m,PLT5544,Captain_4,Captain,B737,43,21,23,4,2025-12-30 09:45
FLY1011,Bangalore to Ahmedabad,2025-12-31 03:45,2025-12-31 04:51,B737,1h 6m,PLT8531,FO_41,First Officer,B737,28,7,12,6,2025-12-30 15:45
